Timestamp,measure.rpm,real_current,pid_Output
10142,3,43,116.609
40387,-3,82,117.612
69099,-4,8,-43.3847
98204,2,-56,-43.3787
127643,4,19,71.6264
160736,0,35,71.6278
192617,-7,102,48.6276
221539,3,36,-20.3649
240900,0,88,116.659
269786,-4,132,0
298542,1,41,71.6437
315681,-3,112,94.6434
345951,-4,-59,-43.353
378845,1,-4,-20.3462
405750,3,-8,71.6585
440125,-3,-20,117.66
472991,-3,14,50.6953
498402,0,-31,-42.3098
526487,2,13,0
561779,3,9,68.748
594949,-3,81,142.631
625750,-6,30,-43.3207
658775,-66,-123,-66.3142
684162,-1817,-15084,-30000
712428,-3657,-16182,-30000
744160,-5937,-14437,-30000
782574,-7209,0,-1623.67
812095,-7251,-1120,-1415.37
845227,-7254,-516,-511.035
875167,-7294,-29,212.661
898484,-7342,-154,83.4194
930930,-7357,-158,-370.223
961580,-7400,-92,-353.674
1002488,-7425,-361,-401.119
1026933,-7463,-238,-574.257
1066713,-7497,-84,-770.377
1095554,-7526,-360,-572.411
1129959,-7529,193,-573.407
1152002,-7570,-153,-310.482
1186471,-7616,-734,-372.558
1220511,-7636,-595,-574.479
1246910,-7658,-527,-485.596
1276621,-7690,183,-468.637
1301702,-7722,-221,-159.67
1331782,-7770,-97,144.293
1368646,-7796,233,36.262
1403482,-7822,-33,-508.785
1432401,-7843,-503,-489.823
1504903,-7911,-232,-330.818
1537053,-7962,-180,-100.94
1561722,-7984,-121,-406.975
1597207,-8024,5,-130.022
1619962,-8036,-1140,-65.0581
1655869,-8090,-278,-169.773
1685408,-8107,148,-612.54
1715353,-8132,-382,-203.176
1746158,-8171,-46,-321.887
1778685,-8195,-645,70.9131
1807292,-8229,406,-440.3
1839448,-8272,-1082,-549.792
1875387,-8298,136,-513.387
1902236,-8321,-59,-255.482
1940180,-8375,114,-114.859
1990840,-8389,-266,-113.783
2002097,-8437,-564,-486.569
2044081,-8470,294,-309.076
2080001,-8505,-244,-339.961
2122140,-8541,-546,-331.474
2153853,-8571,-603,-515.551
2179857,-8600,146,-467.555
2216926,-8637,-185,-346.844
2243363,-8660,-72,-250.811
2273379,-8704,-255,-300.925
2310153,-8731,-295,-382.799
2345179,-8764,-266,-396.029
2389395,-8798,-1221,-380.335
2415710,-8824,-457,-199.113
2448044,-8845,-93,-621.281
2478171,-8861,493,-1385.32
2510399,-8877,353,-1459.69
2542316,-7333,17271,30000
2576896,-6052,1402,2107.01
2609631,-6085,-7,71.6663
2634832,-6111,-401,-273.379
2666576,-6159,-224,-333.508
2697943,-6171,-119,-56.1778
