Timestamp,pid.Output,real_current,,measure.rpm
13235,0,-2,,0
57417,0,-63,,0
135788,0,2,,0
164516,0,3,,0
192343,0,-41,,0
222423,0,8,,0
252821,0,-51,,0
291556,0,8,,0
333406,0,8,,0
369046,0,-50,,0
405699,0,4,,0
435484,0,51,,0
456912,0,8,,0
481741,0,-8,,0
522306,0,31,,0
549352,0,3,,0
590090,0,-46,,0
625544,0,57,,0
654021,0,57,,0
690065,0,-46,,0
720837,0,-55,,0
754482,0,58,,0
787747,0,2,,0
824053,0,-47,,0
851733,0,3,,0
881220,0,2,,0
912465,0,-61,,0
943680,0,4,,0
985366,0,-50,,0
1023862,0,63,,0
1080248,0,-49,,0
1109074,0,8,,0
1148983,0,-2,,0
1183683,0,8,,0
1222045,0,-1,,0
1254683,0,59,,0
1290157,0,8,,0
1324186,0,-51,,0
1349069,0,-45,,0
1388706,0,20,,0
1415147,0,-56,,0
1450385,0,-2,,0
1469024,0,2,,0
1486578,0,57,,0
1525242,0,8,,0
1553632,0,3,,0
1592356,0,-50,,0
1625509,0,57,,0
1643537,0,-51,,0
1677107,0,13,,0
1698664,0,-2,,0
1724786,0,-2,,0
1746806,0,-2,,0
1772426,0,-40,,0
1794491,0,62,,0
1814911,0,-51,,0
1873167,0,3,,0
1904509,0,-45,,0
1939567,0,3,,0
1977222,0,-48,,0
2011704,0,3,,0
2046463,0,51,,0
2092602,0,8,,0
2114611,0,118,,0
2151907,0,7,,0
2178805,0,64,,0
2218442,0,8,,0
2245482,0,-1,,0
2314422,0,8,,0
2357344,0,63,,0
2390777,0,3,,0
2420106,0,-50,,0
2446645,0,-52,,0
2482283,0,-8,,0
2539980,0,-51,,0
2566378,0,-45,,0
2615394,0,-50,,0
2650005,0,-8,,0
2675205,0,-50,,0
2710358,0,73,,0
2731399,0,3,,0
2765152,0,-106,,0
2798026,0,-45,,0
2828332,0,-52,,0
2866350,0,58,,0
2896873,0,2,,0
2930775,0,-2,,0
2962077,0,-1,,0
2991816,0,-51,,0
3022503,0,58,,0
3053975,0,4,,0
3087828,0,51,,0
3108735,0,3,,0
3144972,0,3,,0
3178220,0,-46,,0
3209170,0,-51,,0
3242539,0,4,,0
3273799,0,383,,0
3306123,0,2,,0
3327007,0,68,,0
3364366,0,-2,,0
3397114,0,-51,,0
3436183,0,2,,0
3459010,0,-45,,0
3491051,0,-45,,0
3558991,0,6,,0
3586112,0,7,,0
3615846,0,56,,0
3647610,0,-49,,0
3679469,0,-46,,0
3717297,0,2,,0
3744947,0,4,,0
3780011,0,-44,,0
3807008,0,-52,,0
3842665,0,-56,,0
3872573,0,8,,0
3909676,0,-56,,0
3926458,0,2,,0
3937908,0,8,,0
3969864,0,8,,0
3997423,0,57,,0
4028711,0,20,,0
4060217,0,2,,0
4090701,0,8,,0
4123431,0,-56,,0
4145050,0,57,,0
4190279,0,-8,,0
4231016,0,-2,,0
4263792,0,59,,0
4290772,0,8,,0
4329706,0,-100,,0
4358959,0,14,,0
4388968,0,15,,0
4420042,0,-56,,0
4452977,0,3,,0
4484317,0,-46,,0
4517230,0,-2,,0
